id,name,descr,aliases
WMPID301,Julie Hall,Julie Hall is a Republican candidate for the 4th District of Massachusetts.,Julie Hall|Hall|Julie Hall's|Hall's|JULIE HALL|HALL|JULIE HALL'S|HALL'S
WMPID317,Bill Keating,Bill Keating is a Democratic candidate for the 9th District of Massachusetts.,Bill Keating|Keating|Bill Keating's|Keating's|BILL KEATING|KEATING|BILL KEATING'S|KEATING'S
WMPID320,Chris Palombi,Chris Palombi is a Republican candidate for the 5th District of Maryland.,Chris Palombi|Palombi|Chris Palombi's|Palombi's|CHRIS PALOMBI|PALOMBI|CHRIS PALOMBI'S|PALOMBI'S
WMPID322,Neil Parrott,Neil Parrott is a Republican candidate for the 6th District of Maryland.,Neil Parrott|Parrott|Neil Parrott's|Parrott's|NEIL PARROTT|PARROTT|NEIL PARROTT'S|PARROTT'S
WMPID323,Kweisi Mfume,Kweisi Mfume is a Democratic candidate for the 7th District of Maryland.,Kweisi Mfume|Mfume|Kweisi Mfume's|Mfume's|KWEISI MFUME|MFUME|KWEISI MFUME'S|MFUME'S
WMPID326,Gregory Coll,Gregory Coll is a Republican candidate for the 8th District of Maryland.,Gregory Coll|Coll|Gregory Coll's|Coll's|GREGORY COLL|COLL|GREGORY COLL'S|COLL'S
WMPID334,Bill Huizenga,Bill Huizenga is a Republican candidate for the 4th District of Michigan.,Bill Huizenga|Huizenga|Bill Huizenga's|Huizenga's|BILL HUIZENGA|HUIZENGA|BILL HUIZENGA'S|HUIZENGA'S
WMPID338,Hillary Scholten,Hillary Scholten is a Democratic candidate for the 3rd District of Michigan.,Hillary Scholten|Scholten|Hillary Scholten's|Scholten's|HILLARY SCHOLTEN|SCHOLTEN|HILLARY SCHOLTEN'S|SCHOLTEN'S
WMPID347,Paul Junge,Paul Junge is a Republican candidate for the 8th District of Michigan.,Paul Junge|Junge|Paul Junge's|Junge's|PAUL JUNGE|JUNGE|PAUL JUNGE'S|JUNGE'S
WMPID351,Lisa McClain,Lisa McClain is a Republican candidate for the 10th District of Michigan.,Lisa McClain|McClain|Lisa McClain's|McClain's|LISA MCCLAIN|MCCLAIN|LISA MCCLAIN'S|MCCLAIN'S
WMPID363,Tyler Kistner,Tyler Kistner is a Republican candidate for the 2nd District of Minnesota.,Tyler Kistner|Kistner|Tyler Kistner's|Kistner's|TYLER KISTNER|KISTNER|TYLER KISTNER'S|KISTNER'S
WMPID367,Betty McCollum,Betty McCollum is a Democratic candidate for the 4th District of Minnesota.,Betty McCollum|McCollum|Betty McCollum's|McCollum's|BETTY MCCOLLUM|MCCOLLUM|BETTY MCCOLLUM'S|MCCOLLUM'S
WMPID375,Michelle Fischbach,Michelle Fischbach is a Republican candidate for the 7th District of Minnesota.,Michelle Fischbach|Fischbach|Michelle Fischbach's|Fischbach's|MICHELLE FISCHBACH|FISCHBACH|MICHELLE FISCHBACH'S|FISCHBACH'S
WMPID392,Sam Graves,Sam Graves is a Republican candidate for the 6th District of Missouri.,Sam Graves|Graves|Sam Graves'|Graves'|SAM GRAVES|GRAVES|SAM GRAVES'|GRAVES'
WMPID399,Brian Flowers,Brian Flowers is a Republican candidate for the 2nd District of Mississippi.,Brian Flowers|Flowers|Brian Flowers'|Flowers'|BRIAN FLOWERS|FLOWERS|BRIAN FLOWERS'|FLOWERS'
WMPID402,Deborah Ross,Deborah Ross is a Democratic candidate for the 2nd District of North Carolina.,Deborah Ross|Ross|Deborah Ross'|Ross'|DEBORAH ROSS|ROSS|DEBORAH ROSS'|ROSS'
WMPID405,Sandy Smith,Sandy Smith is a Republican candidate for the 1st District of North Carolina.,Sandy Smith|Smith|Sandy Smith's|Smith's|SANDY SMITH|SMITH|SANDY SMITH'S|SMITH'S
WMPID406,Greg Murphy,Greg Murphy is a Republican candidate for the 3rd District of North Carolina.,Greg Murphy|Murphy|Greg Murphy's|Murphy's|GREG MURPHY|MURPHY|GREG MURPHY'S|MURPHY'S
WMPID413,Dan Bishop,Dan Bishop is a Republican candidate for the 8th District of North Carolina.,Dan Bishop|Bishop|Dan Bishop's|Bishop's|DAN BISHOP|BISHOP|DAN BISHOP'S|BISHOP'S
WMPID428,Mark Elworth Jr,Mark Elworth Jr is a 3rd party candidate for the 3rd District of Nebraska.,Mark Elworth Jr|Elworth|Mark Elworth Jr's|Elworth's|MARK ELWORTH JR|ELWORTH|MARK ELWORTH JR'S|ELWORTH'S
WMPID436,Ann Kuster,Ann Kuster is a Democratic candidate for the 2nd District of New Hampshire.,Ann Kuster|Kuster|Ann Kuster's|Kuster's|ANN KUSTER|KUSTER|ANN KUSTER'S|KUSTER'S
WMPID443,Frank Pallotta,Frank Pallotta is a Republican candidate for the 5th District of New Jersey.,Frank Pallotta|Pallotta|Frank Pallotta's|Pallotta's|FRANK PALLOTTA|PALLOTTA|FRANK PALLOTTA'S|PALLOTTA'S
WMPID444,Tom Kean,Tom Kean is a Republican candidate for the 7th District of New Jersey.,Tom Kean|Kean|Tom Kean's|Kean's|TOM KEAN|KEAN|TOM KEAN'S|KEAN'S
WMPID447,Billy Prempeh,Billy Prempeh is a Republican candidate for the 9th District of New Jersey.,Billy Prempeh|Prempeh|Billy Prempeh's|Prempeh's|BILLY PREMPEH|PREMPEH|BILLY PREMPEH'S|PREMPEH'S
WMPID451,Michelle Garcia Holmes,Michelle Garcia Holmes is a Republican candidate for the 1st District of New Mexico.,Michelle Garcia Holmes|Holmes|Michelle Garcia Holmes'|Holmes'|MICHELLE GARCIA HOLMES|HOLMES|MICHELLE GARCIA HOLMES'|HOLMES'
WMPID453,Teresa Leger,Teresa Leger is a Democratic candidate for the 3rd District of New Mexico.,Teresa Leger|Fernandez|Teresa Leger's|Fernandez's|TERESA LEGER|FERNANDEZ|TERESA LEGER'S|FERNANDEZ'S
WMPID468,Luca Nascimbene,Luca Nascimbene is a 3rd party Senate candidate in New York.,Luca Nascimbene|Nascimbene|Luca Nascimbene's|Nascimbene's|LUCA NASCIMBENE|NASCIMBENE|LUCA NASCIMBENE'S|NASCIMBENE'S
WMPID470,Jackie Gordon,Jackie Gordon is a Democratic candidate for the 2nd District of New York.,Jackie Gordon|Gordon|Jackie Gordon's|Gordon's|JACKIE GORDON|GORDON|JACKIE GORDON'S|GORDON'S
WMPID471,Andrew Garbarino,Andrew Garbarino is a Republican candidate for the 2nd District of New York.,Andrew Garbarino|Garbarino|Andrew Garbarino's|Garbarino's|ANDREW GARBARINO|GARBARINO|ANDREW GARBARINO'S|GARBARINO'S
WMPID475,George Devolder-Santos,George Devolder-Santos is a Republican candidate for the 3rd District of New York.,George Devolder-Santos|Devolder-Santos|George Devolder-Santos'|Devolder-Santos'|GEORGE DEVOLDER-SANTOS|DEVOLDER-SANTOS|GEORGE DEVOLDER-SANTOS'|DEVOLDER-SANTOS'
