id,name,descr,aliases
WMPID1926,Frank Craft,Frank Craft is a 3rd party candidate for the 13rd District of Florida.,Frank Craft|Craft|Frank Craft's|Craft's|FRANK CRAFT|CRAFT|FRANK CRAFT'S|CRAFT'S
WMPID922,Frank D Lucas,Frank D Lucas is a Republican candidate for the 3rd District of Oklahoma.,Frank D Lucas|Lucas|Frank Lucas|Frank D Lucas'|Lucas'|Frank Lucas'|FRANK D LUCAS|LUCAS|FRANK LUCAS|FRANK D LUCAS'|LUCAS'|FRANK LUCAS'
WMPID3422,Frank Fisher Atwood,Frank Fisher Atwood is a 3rd party Senate candidate in Colorado.,Frank Fisher Atwood|Atwood|Frank Atwood|Frank Fisher Atwood's|Atwood's|Frank Atwood's|FRANK FISHER ATWOOD|ATWOOD|FRANK ATWOOD|FRANK FISHER ATWOOD'S|ATWOOD'S|FRANK ATWOOD'S
WMPID237,Frank J. Mrvan,Frank J. Mrvan is a Democratic candidate for the 1st District of Indiana.,Frank J. Mrvan|Mrvan|Frank Mrvan|Frank J. Mrvan's|Mrvan's|Frank Mrvan's|FRANK J. MRVAN|MRVAN|FRANK MRVAN|FRANK J. MRVAN'S|MRVAN'S|FRANK MRVAN'S
WMPID1178,Frank Jr. Pallone Jr,Frank Jr. Pallone Jr is a Democratic candidate for the 6th District of New Jersey.,Frank Jr. Pallone Jr|Pallone|Frank Pallone|Frank Jr. Pallone Jr's|Pallone's|Frank Pallone's|FRANK JR. PALLONE JR|PALLONE|FRANK PALLONE|FRANK JR. PALLONE JR'S|PALLONE'S|FRANK PALLONE'S
WMPID443,Frank Pallotta,Frank Pallotta is a Republican candidate for the 5th District of New Jersey.,Frank Pallotta|Pallotta|Frank Pallotta's|Pallotta's|FRANK PALLOTTA|PALLOTTA|FRANK PALLOTTA'S|PALLOTTA'S
WMPID5193,Franklin D. Roosevelt,Franklin D. Roosevelt is a former U.S. president.,Franklin D. Roosevelt|Roosevelt|Franklin Roosevelt|Franklin D. Roosevelt's|Roosevelt's|Franklin Roosevelt's|FRANKLIN D. ROOSEVELT|ROOSEVELT|FRANKLIN ROOSEVELT|FRANKLIN D. ROOSEVELT'S|ROOSEVELT'S|FRANKLIN ROOSEVELT'S
WMPID5226,Franklin Pierce,Franklin Pierce is a former U.S. president.,Franklin Pierce|Pierce|Franklin Pierce's|Pierce's|FRANKLIN PIERCE|PIERCE|FRANKLIN PIERCE'S|PIERCE'S
WMPID149,Frederica Wilson,Frederica Wilson is a Democratic candidate for the 24th District of Florida.,Frederica Wilson|Wilson|Frederica Wilson's|Wilson's|FREDERICA WILSON|WILSON|FREDERICA WILSON'S|WILSON'S
WMPID863,French Hill,French Hill is a Republican candidate for the 2nd District of Arkansas.,French Hill|Hill|French Hill's|Hill's|FRENCH HILL|HILL|FRENCH HILL'S|HILL'S
WMPID5169,Fumio Kishida,Fumio Kishida is an international leader.,Fumio Kishida|Kishida|Fumio Kishida's|Kishida's|FUMIO KISHIDA|KISHIDA|FUMIO KISHIDA'S|KISHIDA'S
WMPID3032,Maebe A Pudlo,Maebe A Pudlo is a Democratic candidate for the 30th District of California.,Maebe A Pudlo|Pudlo|Maebe Pudlo|Maebe A Pudlo's|Pudlo's|Maebe Pudlo's|MAEBE A PUDLO|PUDLO|MAEBE PUDLO|MAEBE A PUDLO'S|PUDLO'S|MAEBE PUDLO'S
WMPID4014,Gabriel Vasquez,Gabriel Vasquez is a Democratic candidate for the 2nd District of New Mexico.,Gabriel Vasquez|Vasquez|Gabriel Vasquez's|Vasquez's|GABRIEL VASQUEZ|VASQUEZ|GABRIEL VASQUEZ'S|VASQUEZ'S
WMPID889,Garret Graves,Garret Graves is a Republican candidate for the 6th District of Louisiana.,Garret Graves|Graves|Garret Graves'|Graves'|GARRET GRAVES|GRAVES|GARRET GRAVES'|GRAVES'
WMPID4616,Garry Hubbard,Garry Hubbard is a 3rd party candidate for the 2nd District of Virginia.,Garry Hubbard|Hubbard|Garry Hubbard's|Hubbard's|GARRY HUBBARD|HUBBARD|GARRY HUBBARD'S|HUBBARD'S
WMPID2996,Gary Buchanan,Gary Buchanan is a 3rd party candidate for the 2nd District of Montana.,Gary Buchanan|Buchanan|Gary Buchanan's|Buchanan's|GARY BUCHANAN|BUCHANAN|GARY BUCHANAN'S|BUCHANAN'S
WMPID3879,Gary Josephson,Gary Josephson is a Democratic candidate for the 15th District of Ohio.,Gary Josephson|Josephson|Gary Josephson's|Josephson's|GARY JOSEPHSON|JOSEPHSON|GARY JOSEPHSON'S|JOSEPHSON'S
WMPID4727,Gary Jr. Chambers,Gary Jr. Chambers is a Democratic Senate candidate in Louisiana.,Gary Jr. Chambers|Chambers|Gary Chambers|Gary Jr. Chambers'|Chambers'|Gary Chambers'|GARY JR. CHAMBERS|CHAMBERS|GARY CHAMBERS|GARY JR. CHAMBERS'|CHAMBERS'|GARY CHAMBERS'
WMPID127,Gary Koniz,Gary Koniz is a 3rd party candidate for the 4th District of Florida.,Gary Koniz|Koniz|Gary Koniz's|Koniz's|GARY KONIZ|KONIZ|GARY KONIZ'S|KONIZ'S
WMPID862,Gary Palmer,Gary Palmer is a Republican candidate for the 6th District of Alabama.,Gary Palmer|Palmer|Gary Palmer's|Palmer's|GARY PALMER|PALMER|GARY PALMER'S|PALMER'S
WMPID1484,Gary Peters,Gary Peters is a Senator.,Gary Peters|Peters|Gary Peters'|Peters'|GARY PETERS|PETERS|GARY PETERS'|PETERS'
WMPID3665,Gary Snyder,Gary Snyder is a Democratic candidate for the 3rd District of Indiana.,Gary Snyder|Snyder|Gary Snyder's|Snyder's|GARY SNYDER|SNYDER|GARY SNYDER'S|SNYDER'S
WMPID5120,Gary Walkowicz,Gary Walkowicz is a 3rd party candidate for the 12th District of Michigan.,Gary Walkowicz|Walkowicz|Gary Walkowicz's|Walkowicz's|GARY WALKOWICZ|WALKOWICZ|GARY WALKOWICZ'S|WALKOWICZ'S
WMPID4010,Gavin Joesph Goodman,Gavin Joesph Goodman is a 3rd party candidate for the 7th District of Alabama.,Gavin Joesph Goodman|Goodman|Gavin Goodman|Gavin Joesph Goodman's|Goodman's|Gavin Goodman's|GAVIN JOESPH GOODMAN|GOODMAN|GAVIN GOODMAN|GAVIN JOESPH GOODMAN'S|GOODMAN'S|GAVIN GOODMAN'S
WMPID1968,Gavin Maple,Gavin Maple is a 3rd party candidate for the 7th District of Indiana.,Gavin Maple|Maple|Gavin Maple's|Maple's|GAVIN MAPLE|MAPLE|GAVIN MAPLE'S|MAPLE'S
WMPID5303,Gavin Newsom,Gavin Newsom is a gubernatorial candidate.,Gavin Newsom|Newsom|Gavin Newsom's|Newsom's|GAVIN NEWSOM|NEWSOM|GAVIN NEWSOM'S|NEWSOM'S
WMPID4372,Gavriel Eliyahu Soriano,Gavriel Eliyahu Soriano is a Republican candidate for the 11th District of Florida.,Gavriel Eliyahu Soriano|Soriano|Gavriel Soriano|Gavriel Eliyahu Soriano's|Soriano's|Gavriel Soriano's|GAVRIEL ELIYAHU SORIANO|SORIANO|GAVRIEL SORIANO|GAVRIEL ELIYAHU SORIANO'S|SORIANO'S|GAVRIEL SORIANO'S
WMPID5340,Geoff Diehl,Geoff Diehl is a gubernatorial candidate.,Geoff Diehl|Diehl|Geoff Diehl's|Diehl's|GEOFF DIEHL|DIEHL|GEOFF DIEHL'S|DIEHL'S
WMPID4140,Geoffrey Young,Geoffrey Young is a Democratic candidate for the 6th District of Kentucky.,Geoffrey Young|Young|Geoffrey Young's|Young's|GEOFFREY YOUNG|YOUNG|GEOFFREY YOUNG'S|YOUNG'S
