ad_id,combined_entities
x_1183899249170343,"['WMPID317', 'WMPID96', 'WMPID2690']"
x_1184044862325637,[]
x_1185312422194490,"['WMPID453', 'WMPID4871', 'WMPID5106', 'WMPID505']"
x_1185454072036178,['WMPID3978']
x_1186160278924294,"['WMPID1321', 'WMPID787']"
x_1186411675328115,['WMPID1081']
x_1186775978575419,[]
x_1187871891827839,[]
x_1189737201612235,"['WMPID1412', 'WMPID5330', 'WMPID1413']"
x_1189991248218401,['WMPID45']
x_1190013594916509,['WMPID918']
x_1190352051511898,['WMPID8']
x_1190400481891041,['WMPID4511']
x_1190878015187979,[]
x_1190953868430130,['WMPID1330']
x_1191248878122887,['WMPID3907']
x_1192262928018419,['WMPID5305']
x_1192953521567320,[]
x_1195102868016388,['WMPID1081']
x_1195868084299560,[]
x_1196457494242319,[]
x_1197496357686086,"['WMPID1289', 'WMPID1052', 'WMPID1281']"
x_1198571590966590,['WMPID1290']
x_1199323230649734,['WMPID1117']
x_1199783254203080,[]
x_1201927393696763,[]
x_1203711953824590,"['WMPID2130', 'WMPID1495']"
x_1204088516809937,[]
x_1204146240182381,[]
x_1204686383787192,"['WMPID4650', 'WMPID5206', 'WMPID1450']"
x_1205331803529676,[]
x_1205337903377469,[]
x_1205580693341924,"['WMPID2065', 'WMPID1370', 'WMPID1790']"
x_1205727013328123,[]
x_1207261739824316,"['WMPID1289', 'WMPID946']"
x_1210429156356122,[]
x_1211507979427211,['WMPID2840']
x_1211540752745451,"['WMPID1450', 'WMPID4650', 'WMPID534']"
x_1213416675901202,[]
x_1213930659184851,[]
x_1214504892722061,[]
x_1216657389233331,[]
x_1217201369130703,"['WMPID1290', 'WMPID1289']"
x_1217737949089298,[]
x_1218610332206219,['WMPID2705']
x_1218767938680435,['WMPID1330']
x_1218846849016152,"['WMPID5301', 'WMPID1290']"
x_1219002485625491,[]
x_1219264675308770,['WMPID1330']
x_1220499798517074,[]
x_1220797278699374,"['WMPID1289', 'WMPID3395']"
x_1221939058377195,"['WMPID987', 'WMPID322']"
x_1221939135258488,"['WMPID3771', 'WMPID4545']"
x_1222129108581053,"['WMPID3297', 'WMPID5206']"
x_1222373275286585,['WMPID2619']
x_1222418044994749,['WMPID75']
x_1222545428326064,"['WMPID5206', 'WMPID1147']"
x_1222826525234655,[]
x_1222851141594042,"['WMPID1516', 'WMPID1459', 'WMPID2029']"
x_1222931374933147,['WMPID5332']
x_1223503128582383,['WMPID2315']
x_1223734411749784,['WMPID1305']
x_1224268178429709,['WMPID4064']
x_1224286611483520,['WMPID1330']
x_1226119488240690,[]
x_1226697878123473,['WMPID2949']
x_1228148197753838,"['WMPID4511', 'WMPID1330']"
x_1228465181335936,['WMPID1790']
x_1228650397923537,"['WMPID5311', 'WMPID5292']"
x_1228748614581006,"['WMPID1280', 'WMPID1179', 'WMPID5206', 'WMPID1067']"
x_1229237114356553,['WMPID3057']
x_1229513017896608,[]
x_1230900777474334,"['WMPID1302', 'WMPID1289', 'WMPID3907']"
x_1231172500765722,[]
x_1231352997441319,['WMPID5335']
x_1231452650840777,[]
x_1231482277672681,"['WMPID1289', 'WMPID1052', 'WMPID1481']"
x_1232645390629767,['WMPID5206']
x_1232789847281521,"['WMPID1052', 'WMPID2331']"
x_1234458434064637,['WMPID5282']
x_1234746744049354,[]
x_1236142860566016,['WMPID3217']
x_1236267170251409,['WMPID3785']
x_1236616296913725,['WMPID2065']
x_1236778710201163,['WMPID1289']
x_1236987830195180,['WMPID4945']
x_1237448716823990,"['WMPID67', 'WMPID68']"
x_1237468377061777,[]
x_1238056610110792,"['WMPID489', 'WMPID1191']"
x_1238769033550629,"['WMPID5206', 'WMPID3328', 'WMPID1290']"
x_1239426373524266,[]
x_1240064273516572,[]
x_1240127706772280,[]
x_1240196660147877,[]
x_1240725086496993,['WMPID5270']
x_1240816783440936,[]
x_1241021306629660,['WMPID5206']
x_1241472909943570,['WMPID4014']
x_1242467116597544,"['WMPID3771', 'WMPID1290', 'WMPID1289']"
x_1243860739724867,"['WMPID5311', 'WMPID5292']"
x_1244443663047620,['WMPID2065']
x_1244800582922089,['WMPID2065']
x_1245008226334327,['WMPID4511']
x_1245245016019558,['WMPID1519']
x_1245850942864977,"['WMPID1289', 'WMPID1049']"
x_1246635109470674,"['WMPID1173', 'WMPID3004']"
x_1246677896078330,['WMPID3320']
x_1247025552815155,[]
x_1248259135741303,"['WMPID5327', 'WMPID5279', 'WMPID4511']"
x_1248987919006382,[]
x_1249477765791298,[]
x_1249558029166032,['WMPID5335']
x_1249747529172642,"['WMPID1305', 'WMPID1289']"
x_1250055122498153,['WMPID1481']
x_1250301295802113,['WMPID746']
x_1250552805511917,"['WMPID1289', 'WMPID1193']"
x_1250640128828668,['WMPID1330']
x_1250705952386154,[]
x_1250954165755903,['WMPID4650']
x_1251175478758956,['WMPID1481']
x_1252076618981216,[]
x_1254244058755919,[]
x_1254493182008456,[]
x_1255089381890476,"['WMPID5318', 'WMPID5271', 'WMPID68']"
x_1255242118569189,"['WMPID1261', 'WMPID5206']"
x_1255512868538951,[]
x_1256129541803796,"['WMPID1342', 'WMPID2549']"
x_1257469071824940,['WMPID5341']
x_1258773608278887,[]
x_1258774581615624,"['WMPID1321', 'WMPID787']"
x_1259031914876952,"['WMPID2987', 'WMPID1516']"
x_1259826561524557,['WMPID821']
x_1260563208066560,"['WMPID946', 'WMPID2629']"
x_1260803264775676,"['WMPID534', 'WMPID1450']"
x_1261031724749973,['WMPID3217']
x_1261273668049097,['WMPID1405']
x_1262206831258482,[]
x_1262931011146296,"['WMPID1289', 'WMPID1193']"
x_1263241971184276,[]
x_1263849701130416,"['WMPID1330', 'WMPID1290', 'WMPID4511', 'WMPID1459']"
x_1263918054176242,[]
x_1266402610813754,['WMPID4191']
x_1266775507197970,['WMPID969']
x_1267017244122498,['WMPID1302']
x_1267040940533451,[]
x_1267125324020397,[]
x_1267680357137121,[]
x_1267722067354438,[]
x_1267949717106767,['WMPID1054']
x_1268955810621949,"['WMPID3320', 'WMPID5335']"
